year;fortis.N;scandens.N;small.seeds;large.seeds;rain;fortis.PC1.beak;fortis.PC2.beak;scandens.PC1.beak;scandens.PC2.beak
1976;490;185;700;850;135;-0.224;-0.556;0.332;1.718
1977;210;146;100;900;24;-0.039;-0.56;0.526;1.739
1978;157;132;250;500;137;0.597;-0.579;0.803;1.622
1979;295;190;270;970;69;0.658;-0.579;0.635;1.653
1980;280;197;50;1300;53;0.728;-0.579;0.766;1.7
1981;225;180;200;1200;73;0.641;-0.597;0.606;1.64
1982;340;241;25;50;51;0.705;-0.606;0.633;1.637
1983;279;234;300;100;1359;0.639;-0.601;0.534;1.613
1984;700;476;1800;300;53;0.593;-0.649;0.427;1.582
1985;601;295;2200;300;4;0.526;-0.639;0.404;1.578
1986;285;101;1600;250;49;0.238;-0.539;0.674;1.59
1987;233;83;3050;600;622;0.026;-0.452;0.49;1.523
1988;939;158;3300;175;1;0.026;-0.452;0.49;1.523
1989;621;117;4400;300;4;-0.024;-0.445;0.539;1.557
1990;449;97;1250;50;48;-0.066;-0.444;0.533;1.562
1991;301;73;1450;10;195;-0.107;-0.466;0.381;1.39
