year;rain;small.seeds;medium.seeds;large.seeds;fortis.N;scandens.N;fortis.PC1.beak;fortis.PC2.beak;scandens.PC1.beak;scandens.PC2.beak
1976;135;700;NA;850;490;185;-0.224;-0.556;0.332;1.718
1977;24;100;NA;900;210;146;-0.039;-0.56;0.526;1.739
1977;137;250;NA;500;157;132;0.597;-0.579;0.803;1.622
1979;69;270;1604.74308300395;970;295;190;0.658;-0.579;0.635;1.653
1980;53;50;1494.07114624506;1300;280;197;0.728;-0.579;0.766;1.7
1981;73;200;2000;1200;225;180;0.641;-0.597;0.606;1.64
1982;51;25;1509.8814229249;50;340;241;0.705;-0.606;0.633;1.637
1983;1359;300;205.533596837945;100;279;234;0.639;-0.601;0.534;1.613
1984;53;1800;371.541501976285;300;700;476;0.593;-0.649;0.427;1.582
1985;4;2200;63.2411067193676;300;601;295;0.526;-0.639;0.404;1.578
1986;49;1600;308.300395256917;250;285;101;0.238;-0.539;0.674;1.59
1987;622;3050;988.142292490119;600;233;83;0.026;-0.452;0.49;1.523
1988;1;3300;679.841897233202;175;939;158;0.026;-0.452;0.49;1.523
1989;4;4400;529.644268774704;300;621;117;-0.024;-0.445;0.539;1.557
1990;48;1250;15.8102766798419;50;449;97;-0.066;-0.444;0.533;1.562
1991;195;1450;1019.7628458498;10;301;73;-0.107;-0.466;0.381;1.39
